Symbol,Company Name,Return on Equity (TTM),Rev. Growth Rate (last 3 Yrs),Market Capitalization,EPS Growth Rate (last 3 Yrs),2012-04-23 CAPS Rating,
JOBS,"51job, Inc.",18.4,21.70,1653598487,77.29,3
APKT,"Acme Packet, Inc.",9.6,40.57,1854054381,57.92,3
ADTN,"Adtran, Inc.",20.0,13.43,1899653440,20.25,4
ASX,"Advanced Semiconductor Engineering, Inc.",17.7,37.69,6566448808,44.52,4
ACM,AECOM Technology Corporation,11.2,11.80,2519340746,13.85,4
AIRM,Air Methods Corp.,16.2,9.84,1083883484,34.71,3
AIXG,Aixtron SE NA,12.7,35.91,1697849310,56.83,3
AHGP,"Alliance Holdings GP, L.P.",34.2,18.15,2529810380,39.44,5
ARLP,Alliance Resource Partners LP,62.4,18.14,2258959376,56.02,4
AGNC,American Capital Agency Corp.,12.4,154.08,9214284074,27.33,4
APH,Amphenol Corp,24.1,9.74,9270750316,14.60,4
AFSI,"AmTrust Financial Services, Inc.",19.1,33.26,1581123949,27.49,5
ANSS,"ANSYS, Inc.",10.3,12.99,6048337815,15.41,3
ASNA,"Ascena Retail Group, Inc.",15.2,26.66,3143091340,28.24,3
ALV,"Autoliv, Inc.",18.7,11.16,5684454580,105.16,5
BPI,"Bridgepoint Education, Inc.",48.9,61.77,1104715249,185.72,5
BPO,Brookfield Office Properties Inc,20.9,27.73,9040833043,35.91,3
BRKR,Bruker Corporation,14.9,14.54,2385088573,12.75,4
BKE,"Buckle, Incorporated",41.7,9.84,2160298380,11.81,3
BWLD,"Buffalo Wild Wings, Inc.",15.9,21.97,1527015668,25.96,4
CACI,"CACI International, Inc.",14.0,11.20,1620875555,18.65,5
CRR,"Carbo Ceramics, Inc.",20.7,19.24,2001735121,11.23,4
KMX,"CarMax, Inc.",15.6,13.49,7062681537,81.42,3
CRI,"Carter's, Inc.",14.2,12.06,3002347108,15.56,4
CSH,Cash America International Inc,15.1,14.44,1230945155,16.27,3
CYOU,Changyou.com Ltd,47.7,32.69,1302288300,25.48,3
CRUS,"Cirrus Logic, Inc.",41.0,31.64,1355630421,328.43,5
CLH,"Clean Harbors, Inc.",14.1,27.66,3452293696,36.92,4
CLF,Cliffs Natural Resources Inc.,31.3,29.57,9401588107,51.68,4
CSTR,"Coinstar, Inc.",19.6,26.39,1941859994,73.51,3
VCO,Concha y Toro Winery Inc,10.5,16.94,1597845791,17.68,4
CPA,Copa Holdings SA,22.3,12.41,2585206930,30.86,3
CPO,"Corn Products International, Inc.",19.8,16.64,4278772493,30.26,3
CPL,CPFL Energy SA,21.7,18.17,8721412358,30.52,5
CACC,Credit Acceptance Corporation,34.8,18.65,2348960216,45.67,4
CTRP,"Ctrip.com International, Ltd.",15.3,34.33,3002751858,35.45,4
